Ship Mode,Region,Origin_Factory,Distance_Miles,Units,Delivery_Time_Days
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,4,5
Standard Class,Atlantic,Wicked Choccy's,721.4927883494037,4,7
Standard Class,Pacific,Secret Factory,1609.9340856478125,2,5
Second Class,Pacific,Wicked Choccy's,2153.343062292087,2,4
Standard Class,Atlantic,Wicked Choccy's,721.4927883494037,4,7
Second Class,Pacific,Lot's O' Nuts,389.27048109890546,4,4
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,4,5
Standard Class,Atlantic,Secret Factory,814.2917955347943,2,7
Standard Class,Pacific,Lot's O' Nuts,691.0837284069044,3,5
Standard Class,Interior,Lot's O' Nuts,875.8358763714116,7,6
Second Class,Pacific,Wicked Choccy's,2139.912332310119,2,3
Second Class,Pacific,Lot's O' Nuts,385.46609669761943,4,5
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,2,7
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,4,6
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,11,5
Standard Class,Interior,Wicked Choccy's,871.491412618307,11,7
Second Class,Pacific,Lot's O' Nuts,319.06007095999223,4,4
Standard Class,Interior,Wicked Choccy's,909.6036475036664,3,7
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,7
First Class,Pacific,Lot's O' Nuts,688.8830311589684,2,1
Second Class,Atlantic,Lot's O' Nuts,2142.2345958934734,8,5
Same Day,Atlantic,Wicked Choccy's,715.9906920347423,3,0
Standard Class,Pacific,Lot's O' Nuts,439.1030373027291,11,5
Standard Class,Interior,Wicked Choccy's,768.5044899184401,4,7
First Class,Pacific,Lot's O' Nuts,688.8830311589684,2,2
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,1,7
Standard Class,Atlantic,Lot's O' Nuts,2080.3163308991593,9,5
Standard Class,Interior,Lot's O' Nuts,1457.4325478617507,2,5
Second Class,Gulf,Lot's O' Nuts,1558.6730885753404,3,4
Standard Class,Interior,Lot's O' Nuts,974.171375665286,7,7
First Class,Pacific,Wicked Choccy's,2354.810683422382,1,1
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,1,6
Same Day,Pacific,Lot's O' Nuts,385.46609669761943,1,0
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,7,7
Second Class,Interior,Lot's O' Nuts,858.6084240921674,6,5
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,4,5
First Class,Pacific,Lot's O' Nuts,687.4765257830043,6,1
First Class,Pacific,Wicked Choccy's,1801.1229177148252,1,1
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,1,6
First Class,Atlantic,Lot's O' Nuts,2144.332624357945,2,2
Second Class,Atlantic,Lot's O' Nuts,2080.3163308991593,5,3
First Class,Pacific,Lot's O' Nuts,688.8830311589684,4,1
Standard Class,Pacific,Lot's O' Nuts,328.1391709518719,2,7
Standard Class,Gulf,Wicked Choccy's,673.8363049217684,4,7
First Class,Atlantic,Wicked Choccy's,947.6891105050917,4,1
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,9,5
First Class,Pacific,The Other Factory,1607.5799885681279,3,2
Standard Class,Pacific,Secret Factory,1583.5965399618274,3,6
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,5
First Class,Gulf,Lot's O' Nuts,2001.908038745706,7,1
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,5,7
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,4,5
Standard Class,Atlantic,Lot's O' Nuts,2080.3163308991593,10,7
Same Day,Interior,Wicked Choccy's,920.2494066294239,5,0
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,4,7
Standard Class,Gulf,Lot's O' Nuts,1575.7783905426409,6,5
Second Class,Interior,Lot's O' Nuts,872.928444195716,3,3
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,7
Standard Class,Pacific,Lot's O' Nuts,319.06007095999223,4,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,4,7
Second Class,Pacific,Wicked Choccy's,2153.343062292087,2,4
Standard Class,Gulf,Wicked Choccy's,230.62171146135415,1,6
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,1,6
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,7,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,6
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,14,5
First Class,Pacific,Lot's O' Nuts,385.46609669761943,7,1
First Class,Pacific,Sugar Shack,1501.1403518615884,2,2
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,6,6
Second Class,Pacific,The Other Factory,1610.5603468979275,4,4
First Class,Atlantic,Lot's O' Nuts,1664.1851047612984,5,1
Second Class,Gulf,Lot's O' Nuts,1953.1123386063036,11,4
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,4,7
Second Class,Pacific,Lot's O' Nuts,386.83003298734036,2,3
Second Class,Pacific,Wicked Choccy's,2139.912332310119,4,5
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,1,6
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,3,5
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,5,5
Same Day,Interior,Lot's O' Nuts,864.2514931058013,3,0
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,4,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,7
Standard Class,Pacific,Wicked Choccy's,2098.578256472988,5,6
Second Class,Gulf,Wicked Choccy's,435.82930738102635,3,3
Standard Class,Interior,Wicked Choccy's,726.1783906538437,6,5
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,1,5
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,1,7
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,3,7
Standard Class,Atlantic,Wicked Choccy's,719.4714404454609,4,6
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,7
First Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,1
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,2,6
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,2,5
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,1,5
First Class,Atlantic,Wicked Choccy's,790.47379223241,3,1
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,3,6
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,2,7
Standard Class,Interior,Lot's O' Nuts,858.6084240921674,3,7
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,9,6
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,11,5
Same Day,Atlantic,Secret Factory,814.2917955347943,3,0
Second Class,Gulf,Wicked Choccy's,227.71978261368133,1,3
First Class,Atlantic,Wicked Choccy's,716.1677373489346,10,2
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,5,5
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,1,6
Standard Class,Atlantic,Lot's O' Nuts,2158.292968215426,8,6
First Class,Interior,Lot's O' Nuts,974.171375665286,1,1
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,7,6
Standard Class,Atlantic,Wicked Choccy's,981.9658789246068,3,7
Standard Class,Interior,Wicked Choccy's,722.955813229426,2,5
Standard Class,Interior,Lot's O' Nuts,1230.4389152951694,6,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,13,5
Second Class,Gulf,Wicked Choccy's,237.31691078039853,5,3
Second Class,Pacific,Lot's O' Nuts,386.83003298734036,1,5
Standard Class,Pacific,Lot's O' Nuts,378.36278410044537,1,5
Standard Class,Pacific,Lot's O' Nuts,643.5101842968278,2,6
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,3,6
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,6,6
First Class,Atlantic,Lot's O' Nuts,2074.091779756445,2,1
First Class,Atlantic,Lot's O' Nuts,2074.091779756445,1,1
Second Class,Pacific,Lot's O' Nuts,394.97435771587914,2,3
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,2,5
Second Class,Atlantic,Lot's O' Nuts,2140.8841370533396,4,5
First Class,Atlantic,Wicked Choccy's,634.3251241137547,2,2
Standard Class,Pacific,Lot's O' Nuts,1055.5178837787307,3,6
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,6,5
Standard Class,Interior,Secret Factory,113.00766380565312,3,6
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,1,6
Second Class,Pacific,Lot's O' Nuts,1160.0360575936345,2,5
Second Class,Pacific,Wicked Choccy's,2399.6650051013826,6,5
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,8,7
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,2,7
Standard Class,Interior,Wicked Choccy's,874.8008207460541,2,5
Standard Class,Atlantic,Wicked Choccy's,634.3251241137547,7,7
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,2,6
Standard Class,Interior,Lot's O' Nuts,933.5628845938165,3,5
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,2,6
Second Class,Gulf,Wicked Choccy's,426.4698608713511,3,4
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,2,6
Second Class,Gulf,Lot's O' Nuts,1120.1242790724198,2,5
Standard Class,Interior,Lot's O' Nuts,971.8937609924294,4,7
Standard Class,Atlantic,Wicked Choccy's,546.7261021568928,2,5
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,2,5
Standard Class,Atlantic,Lot's O' Nuts,2074.091779756445,5,7
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,4,6
Standard Class,Atlantic,Wicked Choccy's,598.8855195978538,3,5
Standard Class,Interior,Lot's O' Nuts,933.5628845938165,4,7
First Class,Interior,Lot's O' Nuts,1282.2938773877213,3,2
First Class,Pacific,Lot's O' Nuts,323.3046774689299,2,2
Standard Class,Gulf,The Other Factory,590.936881555233,5,7
Standard Class,Interior,Lot's O' Nuts,864.2514931058013,4,7
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,2,6
First Class,Atlantic,Wicked Choccy's,640.6049843135982,5,1
Standard Class,Gulf,Lot's O' Nuts,1500.9468761529554,5,7
Standard Class,Interior,Lot's O' Nuts,962.9512802658667,1,7
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,5,7
Second Class,Pacific,Lot's O' Nuts,378.36278410044537,8,3
Standard Class,Gulf,Wicked Choccy's,509.12373298194024,2,5
Standard Class,Gulf,Wicked Choccy's,509.12373298194024,1,7
Standard Class,Gulf,Lot's O' Nuts,1943.523306477948,3,6
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,5,5
Same Day,Interior,Wicked Choccy's,869.5019688496079,4,0
Standard Class,Interior,Wicked Choccy's,1079.578764645967,3,7
Standard Class,Gulf,Wicked Choccy's,434.9349872746318,2,5
Standard Class,Pacific,Wicked Choccy's,2399.6650051013826,4,5
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,3,6
Standard Class,Atlantic,Lot's O' Nuts,2080.3163308991593,2,7
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,9,7
Standard Class,Gulf,The Other Factory,288.88847227624285,2,6
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,10,6
Standard Class,Interior,Wicked Choccy's,723.6154536513862,5,7
Standard Class,Pacific,Lot's O' Nuts,378.36278410044537,5,7
First Class,Atlantic,Wicked Choccy's,634.3251241137547,2,2
Standard Class,Atlantic,Lot's O' Nuts,2074.091779756445,8,6
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,5,5
First Class,Atlantic,Wicked Choccy's,716.1677373489346,3,2
First Class,Atlantic,Lot's O' Nuts,2140.8841370533396,1,2
First Class,Pacific,Wicked Choccy's,2358.5047550682953,2,1
Standard Class,Gulf,Lot's O' Nuts,1964.1105333896971,1,6
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,3,5
Standard Class,Interior,Wicked Choccy's,767.3939549308957,4,6
Standard Class,Gulf,Wicked Choccy's,301.7551926773017,4,5
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,1
Standard Class,Gulf,Wicked Choccy's,301.7551926773017,1,7
Second Class,Atlantic,Wicked Choccy's,605.7312423228873,5,5
Standard Class,Atlantic,The Other Factory,872.5488002709607,2,5
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,1
Second Class,Atlantic,Wicked Choccy's,605.7312423228873,2,5
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,2,7
Second Class,Interior,Wicked Choccy's,762.959591962414,2,5
Standard Class,Pacific,Lot's O' Nuts,688.8830311589684,1,6
Standard Class,Atlantic,Wicked Choccy's,947.6891105050917,2,5
Second Class,Pacific,Wicked Choccy's,2315.7577590592446,3,5
Same Day,Pacific,Wicked Choccy's,2149.918618478605,1,0
First Class,Interior,Wicked Choccy's,995.4066217213552,2,1
Second Class,Atlantic,Wicked Choccy's,650.9621307668598,8,4
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,2,6
Second Class,Pacific,Lot's O' Nuts,687.4765257830043,9,5
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,4,6
Standard Class,Atlantic,Wicked Choccy's,710.7250564326756,2,5
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,5,7
Second Class,Interior,Wicked Choccy's,871.491412618307,4,3
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,3,5
Standard Class,Pacific,Lot's O' Nuts,378.36278410044537,5,6
Second Class,Pacific,Lot's O' Nuts,378.36278410044537,5,4
First Class,Atlantic,Lot's O' Nuts,2079.993373016822,2,2
First Class,Atlantic,Wicked Choccy's,642.6091033973505,4,2
Standard Class,Atlantic,Secret Factory,863.8615560804949,3,6
First Class,Atlantic,Lot's O' Nuts,2142.2345958934734,7,1
First Class,Pacific,Wicked Choccy's,2153.343062292087,2,2
Second Class,Atlantic,Lot's O' Nuts,2079.993373016822,2,3
Standard Class,Gulf,Wicked Choccy's,540.4048564236693,1,5
Standard Class,Gulf,Lot's O' Nuts,1401.7787632570858,2,5
Same Day,Pacific,Lot's O' Nuts,509.8704973788533,3,0
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,2,5
Standard Class,Atlantic,Wicked Choccy's,721.4927883494037,1,6
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,3,5
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,5,7
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,4,7
Standard Class,Atlantic,Wicked Choccy's,676.57222887431,3,5
Same Day,Pacific,Lot's O' Nuts,509.8704973788533,2,0
Second Class,Pacific,Lot's O' Nuts,389.27048109890546,2,3
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,8,7
Second Class,Interior,Lot's O' Nuts,1456.7435840913759,1,5
Standard Class,Pacific,Wicked Choccy's,2358.5047550682953,2,6
Second Class,Pacific,Lot's O' Nuts,1161.1671330014183,7,5
First Class,Atlantic,Lot's O' Nuts,2080.3163308991593,5,2
Standard Class,Pacific,Lot's O' Nuts,666.3502697955577,2,6
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,3,6
First Class,Atlantic,Wicked Choccy's,640.4214007710173,2,2
First Class,Atlantic,Lot's O' Nuts,2080.3163308991593,2,2
First Class,Atlantic,Wicked Choccy's,640.4214007710173,6,1
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,1,7
First Class,Atlantic,Lot's O' Nuts,2080.3163308991593,4,2
First Class,Pacific,Lot's O' Nuts,378.36278410044537,1,2
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,5,7
Second Class,Interior,Lot's O' Nuts,1502.1583316175079,2,5
Standard Class,Atlantic,Lot's O' Nuts,1666.867780072924,6,6
Standard Class,Pacific,Wicked Choccy's,2288.3427008363583,3,5
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,8,6
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,2,5
Standard Class,Pacific,Lot's O' Nuts,387.99286355234057,8,7
Second Class,Interior,Lot's O' Nuts,971.8937609924294,3,3
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,10,5
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,5
Standard Class,Atlantic,Wicked Choccy's,913.2234896708183,2,7
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,3,7
Standard Class,Interior,Lot's O' Nuts,1457.4325478617507,4,5
Standard Class,Atlantic,Lot's O' Nuts,2293.894841447496,3,5
First Class,Atlantic,Lot's O' Nuts,2141.889502951955,10,2
Standard Class,Atlantic,Lot's O' Nuts,2293.894841447496,2,6
Standard Class,Pacific,Wicked Choccy's,981.9658789246068,1,5
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,2,6
Standard Class,Interior,Wicked Choccy's,768.5044899184401,4,5
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,1,6
Standard Class,Atlantic,Wicked Choccy's,913.2234896708183,3,7
First Class,Atlantic,Wicked Choccy's,715.9906920347423,12,2
Standard Class,Interior,Wicked Choccy's,909.6036475036664,5,5
Second Class,Atlantic,Lot's O' Nuts,2080.3163308991593,3,3
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,1,5
Second Class,Atlantic,Lot's O' Nuts,2080.3163308991593,3,3
Second Class,Gulf,Wicked Choccy's,466.91335052102545,2,4
Second Class,Gulf,Lot's O' Nuts,1567.3326903732516,2,3
Standard Class,Interior,Lot's O' Nuts,1693.7600129047557,10,7
Same Day,Pacific,Lot's O' Nuts,387.99286355234057,6,0
Second Class,Atlantic,Wicked Choccy's,715.9906920347423,5,5
Second Class,Pacific,Wicked Choccy's,2157.0150241557785,4,3
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,6,7
Same Day,Pacific,Lot's O' Nuts,387.99286355234057,2,0
First Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,1
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,1,5
Second Class,Pacific,Lot's O' Nuts,55.02001756349753,3,5
Second Class,Pacific,Lot's O' Nuts,378.36278410044537,4,3
Same Day,Atlantic,Wicked Choccy's,715.9906920347423,2,0
Same Day,Interior,Lot's O' Nuts,1456.7435840913759,2,0
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,1,7
Standard Class,Pacific,Lot's O' Nuts,394.97435771587914,2,6
Standard Class,Pacific,Wicked Choccy's,2157.0150241557785,7,5
First Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,2
First Class,Atlantic,Lot's O' Nuts,2142.2345958934734,3,1
Standard Class,Atlantic,Wicked Choccy's,640.6049843135982,9,6
First Class,Interior,Wicked Choccy's,869.5019688496079,8,2
Same Day,Atlantic,Wicked Choccy's,640.6049843135982,5,0
First Class,Atlantic,Wicked Choccy's,716.1677373489346,4,1
Standard Class,Atlantic,Lot's O' Nuts,2286.911416331814,1,6
First Class,Pacific,Lot's O' Nuts,318.25023703183496,2,2
Second Class,Atlantic,Lot's O' Nuts,2078.6537691730177,2,4
Second Class,Atlantic,Wicked Choccy's,640.6049843135982,2,5
Standard Class,Atlantic,Lot's O' Nuts,2078.6537691730177,9,6
Standard Class,Interior,Lot's O' Nuts,976.3720918916192,3,7
Second Class,Pacific,Lot's O' Nuts,687.4765257830043,2,4
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,4,7
Standard Class,Gulf,Wicked Choccy's,224.26025752915896,2,7
Standard Class,Interior,Lot's O' Nuts,1685.5735451477588,6,6
First Class,Interior,Lot's O' Nuts,872.928444195716,4,2
Second Class,Pacific,Wicked Choccy's,2147.2087400803284,3,4
Standard Class,Interior,Lot's O' Nuts,872.928444195716,1,5
Standard Class,Interior,Lot's O' Nuts,872.928444195716,7,5
Standard Class,Gulf,Lot's O' Nuts,1954.2847490168892,3,5
Second Class,Atlantic,Sugar Shack,1179.652702520356,3,5
Standard Class,Pacific,Lot's O' Nuts,389.27048109890546,2,6
